Repeat,FitnessEvaluateCountReachTarget
0,1109
Repeat,FitnessEvaluateCountReachTarget
1,1319
Repeat,FitnessEvaluateCountReachTarget
2,1169
Repeat,FitnessEvaluateCountReachTarget
3,1109
Repeat,FitnessEvaluateCountReachTarget
4,659
Repeat,FitnessEvaluateCountReachTarget
5,1348
Repeat,FitnessEvaluateCountReachTarget
6,1258
Repeat,FitnessEvaluateCountReachTarget
7,1409
Repeat,FitnessEvaluateCountReachTarget
8,1259
Repeat,FitnessEvaluateCountReachTarget
9,1527
Repeat,FitnessEvaluateCountReachTarget
10,749
Repeat,FitnessEvaluateCountReachTarget
11,1049
Repeat,FitnessEvaluateCountReachTarget
12,1139
Repeat,FitnessEvaluateCountReachTarget
13,839
Repeat,FitnessEvaluateCountReachTarget
14,1319
Repeat,FitnessEvaluateCountReachTarget
15,839
Repeat,FitnessEvaluateCountReachTarget
16,1079
Repeat,FitnessEvaluateCountReachTarget
17,1259
Repeat,FitnessEvaluateCountReachTarget
18,1199
Repeat,FitnessEvaluateCountReachTarget
19,1139
Repeat,FitnessEvaluateCountReachTarget
20,1079
Repeat,FitnessEvaluateCountReachTarget
21,1319
Repeat,FitnessEvaluateCountReachTarget
22,1229
Repeat,FitnessEvaluateCountReachTarget
23,1079
Repeat,FitnessEvaluateCountReachTarget
24,1169
Repeat,FitnessEvaluateCountReachTarget
25,1258
Repeat,FitnessEvaluateCountReachTarget
26,839
Repeat,FitnessEvaluateCountReachTarget
27,959
Repeat,FitnessEvaluateCountReachTarget
28,1319
Repeat,FitnessEvaluateCountReachTarget
29,927
Repeat,FitnessEvaluateCountReachTarget
30,1169
Repeat,FitnessEvaluateCountReachTarget
31,1439
Repeat,FitnessEvaluateCountReachTarget
32,1259
Repeat,FitnessEvaluateCountReachTarget
33,1049
Repeat,FitnessEvaluateCountReachTarget
34,1289
Repeat,FitnessEvaluateCountReachTarget
35,1049
Repeat,FitnessEvaluateCountReachTarget
36,1319
Repeat,FitnessEvaluateCountReachTarget
37,1109
Repeat,FitnessEvaluateCountReachTarget
38,1109
Repeat,FitnessEvaluateCountReachTarget
39,868
Repeat,FitnessEvaluateCountReachTarget
40,1168
Repeat,FitnessEvaluateCountReachTarget
41,1048
Repeat,FitnessEvaluateCountReachTarget
42,1229
Repeat,FitnessEvaluateCountReachTarget
43,1499
Repeat,FitnessEvaluateCountReachTarget
44,1259
Repeat,FitnessEvaluateCountReachTarget
45,929
Repeat,FitnessEvaluateCountReachTarget
46,1469
Repeat,FitnessEvaluateCountReachTarget
47,1377
Repeat,FitnessEvaluateCountReachTarget
48,1257
Repeat,FitnessEvaluateCountReachTarget
49,839
Repeat,FitnessEvaluateCountReachTarget
50,989
Repeat,FitnessEvaluateCountReachTarget
51,1108
Repeat,FitnessEvaluateCountReachTarget
52,1169
Repeat,FitnessEvaluateCountReachTarget
53,1348
Repeat,FitnessEvaluateCountReachTarget
54,1319
Repeat,FitnessEvaluateCountReachTarget
55,959
Repeat,FitnessEvaluateCountReachTarget
56,899
Repeat,FitnessEvaluateCountReachTarget
57,1109
Repeat,FitnessEvaluateCountReachTarget
58,899
Repeat,FitnessEvaluateCountReachTarget
59,1139
Repeat,FitnessEvaluateCountReachTarget
60,1619
Repeat,FitnessEvaluateCountReachTarget
61,1259
Repeat,FitnessEvaluateCountReachTarget
62,1318
Repeat,FitnessEvaluateCountReachTarget
63,1169
Repeat,FitnessEvaluateCountReachTarget
64,1349
Repeat,FitnessEvaluateCountReachTarget
65,1289
Repeat,FitnessEvaluateCountReachTarget
66,1319
Repeat,FitnessEvaluateCountReachTarget
67,1109
Repeat,FitnessEvaluateCountReachTarget
68,1259
Repeat,FitnessEvaluateCountReachTarget
69,959
Repeat,FitnessEvaluateCountReachTarget
70,1499
Repeat,FitnessEvaluateCountReachTarget
71,1318
Repeat,FitnessEvaluateCountReachTarget
72,1259
Repeat,FitnessEvaluateCountReachTarget
73,1289
Repeat,FitnessEvaluateCountReachTarget
74,869
Repeat,FitnessEvaluateCountReachTarget
75,1348
Repeat,FitnessEvaluateCountReachTarget
76,1049
Repeat,FitnessEvaluateCountReachTarget
77,1229
Repeat,FitnessEvaluateCountReachTarget
78,1229
Repeat,FitnessEvaluateCountReachTarget
79,1139
Repeat,FitnessEvaluateCountReachTarget
80,1229
Repeat,FitnessEvaluateCountReachTarget
81,1499
Repeat,FitnessEvaluateCountReachTarget
82,1079
Repeat,FitnessEvaluateCountReachTarget
83,1288
Repeat,FitnessEvaluateCountReachTarget
84,1229
Repeat,FitnessEvaluateCountReachTarget
85,1558
Repeat,FitnessEvaluateCountReachTarget
86,959
Repeat,FitnessEvaluateCountReachTarget
87,808
Repeat,FitnessEvaluateCountReachTarget
88,989
Repeat,FitnessEvaluateCountReachTarget
89,1439
Repeat,FitnessEvaluateCountReachTarget
90,1139
Repeat,FitnessEvaluateCountReachTarget
91,1229
Repeat,FitnessEvaluateCountReachTarget
92,1259
Repeat,FitnessEvaluateCountReachTarget
93,1139
Repeat,FitnessEvaluateCountReachTarget
94,1409
Repeat,FitnessEvaluateCountReachTarget
95,1259
Repeat,FitnessEvaluateCountReachTarget
96,1679
Repeat,FitnessEvaluateCountReachTarget
97,929
Repeat,FitnessEvaluateCountReachTarget
98,1109
Repeat,FitnessEvaluateCountReachTarget
99,1289
